Cycle number     output_valid     output_value     
577                     0           dont care
578                     1           000000001
579                     1           010001110
580                     1           110100011
581                     1           000001010
582                     1           000000001
583                     1           000000001
584                     0           dont care
585                     0           dont care
586                     0           dont care
587                     1           000000001
588                     1           000000001
589                     0           dont care
590                     1           001111001
591                     0           dont care
592                     1           000000001
593                     1           000000001
594                     0           dont care
595                     0           dont care
596                     1           101111111
597                     0           dont care
598                     1           000000001
599                     1           100100000
600                     1           111100010
601                     0           dont care
602                     1           000000001
603                     0           dont care
604                     1           000000001
605                     0           dont care
606                     0           dont care
607                     0           dont care
608                     1           000000001
609                     1           000000001
610                     1           000000001
611                     1           111111101
612                     1           000001101
613                     0           dont care
614                     1           110110010
615                     1           000000111
616                     0           dont care
617                     1           000000001
618                     0           dont care
619                     0           dont care
620                     1           000000001
621                     0           dont care
622                     1           000000010
623                     1           100000000
624                     0           dont care
625                     1           111111001
626                     0           dont care
627                     1           000000001
628                     0           dont care
629                     0           dont care
630                     0           dont care
631                     1           000000001
632                     0           dont care
633                     1           111110011
634                     1           000000001
635                     0           dont care
636                     1           011111111
637                     1           011010001
638                     1           001110000
639                     0           dont care
640                     0           dont care
641                     0           dont care
642                     0           dont care
643                     1           111111111
644                     0           dont care
645                     0           dont care
646                     0           dont care
647                     0           dont care
648                     1           001001110
649                     0           dont care
650                     1           000000110
651                     1           000000010
652                     1           000000001
653                     1           111100000
654                     1           000010001
655                     0           dont care
656                     0           dont care
657                     0           dont care
658                     0           dont care
659                     1           100000000
660                     0           dont care
661                     1           111000111
662                     1           000000001
663                     0           dont care
664                     0           dont care
665                     1           000000001
666                     0           dont care
667                     0           dont care
668                     1           111001111
669                     1           001111001
670                     0           dont care
671                     1           000000001
672                     0           dont care
673                     0           dont care
674                     1           011111111
675                     1           000000001
676                     0           dont care
677                     0           dont care
678                     1           111110111
679                     1           111111100
680                     0           dont care
681                     1           000000001
682                     1           000000001
683                     0           dont care
684                     0           dont care
685                     0           dont care
686                     1           011001101
687                     1           000000001
688                     1           000001011
689                     1           110111100
690                     0           dont care
691                     1           100000000
692                     1           000000001
693                     1           100000000
694                     0           dont care
695                     0           dont care
696                     1           100011011
697                     1           000011011
698                     1           000000001
699                     1           000000001
700                     0           dont care
701                     1           000001000
702                     1           111000010
703                     1           000000001
704                     1           101010110
705                     0           dont care
706                     0           dont care
707                     1           001101100
708                     0           dont care
709                     0           dont care
710                     0           dont care
711                     0           dont care
712                     1           000000001
713                     1           000000001
714                     1           000000001
715                     0           dont care
716                     1           101100010
717                     0           dont care
718                     0           dont care
719                     0           dont care
720                     0           dont care
721                     0           dont care
722                     1           000101111
723                     0           dont care
724                     1           000000001
725                     0           dont care
726                     1           000001000
727                     1           110000111
728                     0           dont care
729                     1           111110011
730                     1           000000001
731                     0           dont care
732                     0           dont care
733                     0           dont care
734                     1           010100010
735                     1           111111101
736                     0           dont care
737                     1           000000001
738                     0           dont care
739                     0           dont care
740                     0           dont care
741                     0           dont care
742                     0           dont care
743                     0           dont care
744                     0           dont care
745                     1           000101011
746                     1           001101111
747                     0           dont care
748                     1           111111100
749                     1           000000101
750                     1           111111011
751                     1           101001110
752                     1           010110101
753                     0           dont care
754                     1           000000001
755                     0           dont care
756                     0           dont care
757                     0           dont care
758                     1           111110111
759                     1           001010100
760                     1           000000001
761                     1           000000000
762                     0           dont care
763                     0           dont care
764                     1           100000000
765                     0           dont care
766                     1           001110100
767                     0           dont care
768                     0           dont care
769                     0           dont care
770                     0           dont care
771                     1           100111000
772                     0           dont care
773                     1           000000001
774                     1           000001110
775                     0           dont care
776                     1           010101001
777                     0           dont care
778                     1           100110000
779                     1           100010100
780                     0           dont care
