Cycle number     output_valid     output_value     
569                     1           11110110011001000
570                     1           00000010001111110
571                     1           00000000000000000
572                     0           dont care
573                     1           11111111110111100
574                     0           dont care
575                     0           dont care
576                     0           dont care
577                     0           dont care
578                     0           dont care
579                     1           00000000000101011
580                     1           00000000001011100
581                     1           00000000000000000
582                     1           11111111110011001
583                     0           dont care
584                     1           00000000000000000
585                     1           11111111001111101
586                     0           dont care
587                     1           00000011101100000
588                     0           dont care
589                     1           00000000000000000
590                     1           00000000000010010
591                     0           dont care
592                     1           00001011001100101
593                     1           11111111111111000
594                     0           dont care
595                     1           00001111110100111
596                     1           11111101100110100
597                     1           11110011010000000
598                     0           dont care
599                     1           00000000000000000
600                     1           00000000010001001
601                     1           11110110111101000
602                     1           00000000010001001
603                     0           dont care
604                     1           00001000110011001
605                     1           00000000000000000
606                     0           dont care
607                     0           dont care
608                     0           dont care
609                     0           dont care
610                     0           dont care
611                     0           dont care
612                     0           dont care
613                     1           00000111110000100
614                     1           11111111100010101
615                     1           11111111111110000
616                     0           dont care
617                     1           11110000000110010
618                     0           dont care
619                     1           11101110110000100
620                     0           dont care
621                     1           00000000110100111
622                     1           00000000111100101
623                     1           00000000000000000
624                     1           00000000000000000
625                     0           dont care
626                     0           dont care
627                     0           dont care
628                     1           00000000010101010
629                     0           dont care
630                     1           00000000000101100
631                     1           00000000000111111
632                     0           dont care
633                     0           dont care
634                     0           dont care
635                     0           dont care
636                     1           00000101000110010
637                     0           dont care
638                     1           11111111101110100
639                     0           dont care
640                     0           dont care
641                     1           00000000000000000
642                     0           dont care
643                     1           00001010110010011
644                     0           dont care
645                     1           00001001111100100
646                     0           dont care
647                     0           dont care
648                     0           dont care
649                     0           dont care
650                     1           00000000000110010
651                     0           dont care
652                     1           11111111111100011
653                     0           dont care
654                     1           00000000000000000
655                     0           dont care
656                     1           00000000000000000
657                     1           00010011010100000
658                     0           dont care
659                     0           dont care
660                     0           dont care
661                     1           00000000000000000
662                     0           dont care
663                     1           00000000000000000
664                     0           dont care
665                     0           dont care
666                     0           dont care
667                     1           00000000010011101
668                     1           00000000000000000
669                     0           dont care
670                     1           00000100000101000
671                     0           dont care
672                     1           00000000000000000
673                     1           00000000000000000
674                     0           dont care
675                     0           dont care
676                     0           dont care
677                     0           dont care
678                     1           11111001101001110
679                     1           00000000000000000
680                     0           dont care
681                     1           11111101110011000
682                     1           00000000000000000
683                     1           11111111111101101
684                     1           11110100010010100
685                     0           dont care
686                     0           dont care
687                     0           dont care
688                     0           dont care
689                     0           dont care
690                     1           00000000001110001
691                     0           dont care
692                     1           00010011100100110
693                     1           00000000000000000
694                     1           00000000000000000
695                     1           00010010111110000
696                     0           dont care
697                     0           dont care
698                     1           11111110101001100
699                     1           00000000000000000
